x,z,yaw,pitch,roll
-0.66,0,-139.34,0,0
-0.82,0,-140.46,0,0
-0.93,0,-141.12,0,0
-0.59,0,-141.65,0,0
-0.39,0,-140.96,0,0
-1.03,0,-140.76,0,0
-1.25,0,-140.3,0,0
-0.81,0,-140.45,0,0
-0.47,0,-140.77,0,0
0.12,0,-141.12,0,0
0.28,0,-142.01,0,0
0,0,-142.84,0,0
0,0,-143.34,0,0
-0.21,0,-144.29,0,0
-0.27,0,-145.14,0,0
-0.26,0,-145.92,0,0
-0.41,0,-146.9,0,0
-0.49,0,-147.7,0,0
-0.45,0,-148.41,0,1.68
-0.57,0,-149.16,0,1.01
-0.52,0,-149.79,0,0.4
-0.54,0,-150.48,0,0.49
-0.19,0,-150.95,0,0.25
-0.13,0,-151.41,0,0.78
0,0,-151.78,0,0.71
0.05,0,-152.1,0,0.79
0.16,0,-152.42,0,0.44
0,0,-152.71,0,0.03
-0.05,0,-153.12,0,-0.27
0.13,0,-153.45,0,-1.64
-0.09,0,-153.94,0,-1.68
0,0,-154.41,0,-1.66
-0.15,0,-154.91,0,-1.79
-0.26,0,-155.48,0,-1.87
-0.16,0,-156.05,0,-2.47
0,0,-156.56,0,-2.75
-0.3,0,-157.12,0,-2.46
-0.29,0,-157.62,0,-1.9
-0.05,0,-158.14,0,-2.04
-0.23,0,-158.62,0,-3.09
-0.14,0,-159.18,0,-3.16
0,0,-159.64,0,-2.8
0.13,0,-160.12,0,-2.6
-0.06,0,-160.56,0,-1.76
0.2,0,-161.05,0,-1.91
0.08,0,-161.52,0,-1.4
0,0,-161.99,0,-1.53
0,0,-162.41,0,-1.88
0.09,0,-162.92,0,-2.31
0.11,0,-163.33,0,-2.84
-0.05,0,-163.75,0,-2.86
0,0,-164.16,0,-3.52
0.07,0,-164.55,0,-4.67
0,0,-164.87,0,-4.51
-0.19,0,-165.12,0,-5.63
-0.09,0,-165.41,0,-5.47
-0.17,0,-165.52,0,-5.49
-0.1,0,-165.53,0,-5.9
-0.14,0,-165.39,0,-5.11
0.14,0,-165.18,0,-5.28
-0.18,0,-164.87,0,-5.2
-0.15,0,-164.54,0,-5.38
0.22,0,-164.17,0,-5.07
0.25,0,-163.76,0,-4.66
0.1,0,-163.33,0,-3.67
0.14,0,-162.9,0,-3.11
0.67,0,-162.55,0,-2.71
-0.13,0,-162.13,0,-2.45
-0.19,0,-161.8,0,-2.71
0,0,-161.46,0,-3.11
-0.2,0,-161.1,0,-3.24
0,0,-160.76,0,-3.39
0.07,0,-160.43,0,-3.59
0,0,-159.95,0,-2.05
-0.21,0,-159.51,0,-1.75
0,0,-159.13,0,-1.51
-0.14,0,-158.81,0,-2.03
0,0,-158.47,0,-2.43
-0.16,0,-158.13,0,-1.58
0,0,-157.8,0,-2.16
0,0,-157.45,0,-2.57
0.12,0,-156.87,0,-1.21
0,0,-156.42,0,-1.06
0,0,-156.01,0,-0.67
-0.14,0,-155.64,0,0.12
0,0,-155.23,0,0.28
0,0,-154.93,0,-0.32
0.74,0,-154.64,0,0.29
0,0,-154.32,0,0.5
