x,z,yaw,pitch,roll
0,0,-117.85,3.08,1.56
0,0,-118.33,3.05,0.81
0,0,-118.77,2.77,0.43
0,0,-119.16,2.82,0.19
-0.16,0,-119.39,2.45,0.25
-0.1,0,-119.7,2.89,0.17
0.05,0,-119.94,3.43,0.26
-0.12,0,-120.22,3.08,0.46
-0.06,0,-120.5,3.72,1.32
0,0,-120.88,4,0.96
0.07,0,-121.35,3.94,0.66
0.15,0,-121.68,3.43,1.18
0.19,0,-122.07,2.4,1.31
0.11,0,-122.49,1.42,1.14
0,0,-122.96,0.62,1.04
0,0,-123.35,0.54,0.78
0.07,0,-123.79,0.24,0.74
0,0,-124.15,-0.25,0.88
0,0,-124.35,-0.38,0.85
-0.05,0,-124.69,-0.6,0.61
-0.06,0,-125,-0.36,0.95
0.09,0,-125.28,-0.08,0.9
0.32,0,-125.53,-0.57,1.22
0.36,0,-125.74,-2.77,1.18
0.4,0,-125.88,-4.46,1.42
0,0,-126.16,-6.48,1.81
-0.1,0,-126.44,-6.46,2.1
-0.3,0,-126.77,-5.98,2.27
-0.14,0,-127.22,-4.64,2.71
-0.17,0,-127.64,-4.01,3.39
-0.2,0,-128.07,-3.09,3.3
-0.21,0,-128.66,-2.07,3.28
-0.19,0,-129.09,-1.05,3.44
-0.07,0,-129.64,-0.07,3.98
0,0,-130.14,0.33,3.77
0,0,-130.42,0.09,3.61
-0.11,0,-130.86,0.13,3.58
0,0,-131.3,0.72,3.29
0,0,-131.68,0.7,3.49
0,0,-132.06,0.56,4
0,0,-132.48,0.53,4.08
0,0,-132.97,0.27,3.54
0.08,0,-133.44,0.25,3.48
-0.12,0,-133.85,-0.2,2.5
0,0,-134.17,0.13,2.86
0,0,-134.63,0.28,2.65
0,0,-134.99,0.17,2.5
0,0,-135.31,-0.02,2.31
0,0,-135.62,-0.03,2.33
0.06,0,-136,-0.31,1.91
0.1,0,-136.34,-0.59,1.6
0.11,0,-136.66,-1.25,1.53
0.05,0,-136.93,-1.81,1.12
0,0,-137.24,-2.16,0.98
0,0,-137.53,-2.14,0.88
0,0,-137.76,-2.21,0.22
0,0,-138.01,-2.33,0.27
0.11,0,-138.23,-2.39,-0.11
0.05,0,-138.51,-3.03,0.12
0,0,-138.72,-3.34,0.12
