x,z,yaw,pitch,roll
-0.5,0,-128.01,0,-0.31
-0.54,0,-128.26,0,-0.34
-0.44,0,-128.37,0,-0.94
-0.32,0,-128.39,0,-0.87
-0.32,0,-128.35,0,-1.16
-0.74,0,-128.12,0,-1.18
-0.71,0,-127.81,0,-1.68
-0.18,0,-127.37,0,-2.1
0.28,0,-126.7,0,-1.22
0.66,0,-126.16,0,-0.96
0.42,0,-125.37,0,-1.1
0.11,0,-124.95,0,-0.73
0.16,0,-124.76,0,-1.37
0.15,0,-124.44,0,-1.82
0.2,0,-124.1,0,-2.32
0.3,0,-123.62,0,-1.88
0.15,0,-123.15,0,-2.09
-0.09,0,-122.75,0,-1.74
0,0,-122.4,0,-1.28
-0.14,0,-121.96,0,-0.95
-0.11,0,-121.58,0,-0.87
-0.26,0,-121.54,0,0.17
-0.2,0,-121.3,0,0.97
-0.05,0,-121.23,0,1.36
0.09,0,-121.58,0,2.62
0.31,0,-122.04,0,2.67
0.48,0,-122.39,0,3.21
0.91,0,-122.75,0,4.31
0.39,0,-123.18,0,4.81
0.54,0,-123.63,0,5.87
0.16,0,-124.2,0,4.25
0.06,0,-125.22,0,5.53
