x,z,yaw,pitch,roll
0.7,1,-119,-9,-53.17
0.9,1,-119,-9,-31.36
0.37,1,-120,-7,-14.6
-0.11,0,-120,-5,-0.88
0.83,-2.65,-120,-3,0
0.11,-2.59,-120,0,0
0.42,1.41,-120,0,0
-0.42,1.41,-120.16,0,0
-0.61,-1.84,-120.12,0,0
0.72,1.43,-121.85,0,-1
0.85,1.45,-121.33,0,-1
1.23,0,-120.76,0,-1
0.99,0,-120,0,-1
0.46,0,-120,0,-1
0.41,0,-120,0,-2
0.79,0,-120,0,-2
0.88,0,-119,0,-3
0.7,0,-119,0,-3
0.34,0,-119,0,-4
0.58,0,-119,0,-4
0.81,0,-119,0,-5
0.92,0,-119,0,-5.8
0.83,0,-118,0,-6.89
0.71,0,-118,0,-6.62
0.5,0,-118,0,-6.41
0.27,0,-119,0,-5.45
0.16,0,-119,0,-5.12
0,0,-119,0,-4.6
-0.08,0,-120,0,-5.2
-0.25,0,-120,0,-5.1
-0.27,0,-120,0,-4.99
-0.35,0,-120,0,-4.68
-0.25,0,-120,0,-4.5
-0.15,0,-120.81,0,-4.02
0,0,-122.1,0,-3.96
0.06,0,-123.25,0,-3.94
0.06,0,-124.48,0,-3.51
0.1,0,-125.66,0,-3.43
0.1,0,-126.82,0,-2.27
0.08,0,-128.02,0,-2.85
-0.15,0,-129.14,0,-2.77
-0.24,0,-130.18,0,-1.78
-0.1,0,-131.39,0,-0.81
0.07,0,-132.51,0,-0.3
0,0,-133.84,0,-1.67
-0.15,0,-135.21,0,-1.34
0,0,-136.25,0,-0.79
0,0,-137.63,0,-2.16
0.12,0,-138.72,0,-1.33
0.09,0,-140.03,0,-1.64
0.09,0,-140.81,0,1.26
-0.16,0,-142.41,0,-0.19
-0.11,0,-143.44,0,1.66
-0.14,0,-144.45,0,0.56
-0.25,0,-145.26,0,-0.29
0.23,0,-145.86,0,0.82
0.06,0,-146.36,0,2.96
0.24,0,-146.87,0,-0.27
0,0,-147.47,0,-0.38
0.24,0,-147.95,0,-0.73
0.3,0,-148.42,0,-1.04
