x,z,yaw,pitch,roll
0,0,-130.91,0,-5.86
-0.08,0,-130.83,0,-4.83
0,0,-130.54,0,-4.11
0.1,0,-130.35,0,-3.53
0,0,-130.1,0,-3.26
-0.07,0,-129.99,0,-1.69
-0.08,0,-129.79,0,-1.8
-0.12,0,-129.55,0,-1.84
-0.29,0,-129.24,0,-2.31
-0.42,0,-128.96,0,-3.58
-0.4,0,-128.56,0,-2.91
-0.45,0,-128.1,0,-2.15
-0.43,0,-127.63,0,-2.26
-0.37,0,-127.2,0,-2.28
-0.4,0,-126.91,0,-2.79
-0.17,0,-126.37,0,-2.56
-0.48,0,-126.1,0,-2.11
-0.21,0,-125.41,0,-0.36
-0.12,0,-124.93,0,0.85
0.21,0,-124.85,0,0.12
0.53,0,-124.89,0,-0.99
0.44,0,-124.67,0,-1.28
0.45,0,-124.47,0,-1.66
0.68,0,-124.83,0,-4.11
0.64,0,-124.31,0,-3.22
0.79,0,-124.29,0,-2.93
0.79,0,-124.35,0,-3.19
-0.86,0,-124.43,0,-3.06
-0.44,0,-124.17,0,-3.36
-0.45,0,-124.69,0,-2.66
-0.1,0,-124.76,0,-2.56
0.43,0,-125.14,0,-3.38
0.15,0,-125.35,0,-4.03
0.07,0,-125.44,0,-3.97
0,0,-125.53,0,-4.21
0,0,-125.91,0,-3.93
-0.06,0,-126,0,-3.73
-0.13,0,-125.85,0,-2.21
0.51,0,-125.98,0,-1.44
-0.52,0,-126.05,0,-1.35
-0.4,0,-126.25,0,-1.29
-0.13,0,-126.44,0,-1.64
-0.06,0,-126.29,0,-1.23
0,0,-126.12,0,-0.74
-0.22,0,-126.05,0,-0.97
-0.56,0,-125.75,0,0.08
0.43,0,-126.17,0,1.09
0.13,0,-125.52,0,1.21
0.2,0,-125.84,0,-0.43
0.69,0,-125.75,0,-1.44
0.51,0,-125.83,0,-2.02
0.2,0,-125.37,0,-2
0.06,0,-125.05,0,-1.44
-0.14,0,-124.9,0,-1.8
-0.26,0,-124.64,0,-0.99
-0.19,0,-124.43,0,-0.43
0.08,0,-124.07,0,0.54
-0.12,0,-123.84,0,1.43
-0.08,0,-123.91,0,0.92
-0.06,0,-123.61,0,2.53
-0.09,0,-123.54,0,2.46
0.08,0,-123.49,0,2.33
0.47,0,-123.35,0,1.8
0.1,0,-123.22,0,1.71
0.16,0,-123.07,0,1.95
0.2,0,-122.85,0,1.4
-0.26,0,-122.44,0,2.8
-0.12,0,-122.17,0,3.29
0.23,0,-121.92,0,4.79
-0.37,0,-120.93,0,4.63
0.44,0,-121.27,0,5.15
